sku_number,sku_description,department,promotion_name,decision_triage_class,buyer_review_priority_score,triage_priority_score_v2,economic_priority_rank,economic_net_value_score,review_roi_score,review_roi_label,expected_gp_capture_value,missed_sales_avoidance_value,overstock_cash_release_value,brain_action_label,final_governed_action_label,priority_rank_change,priority_rank_change_reason
192531,0.0,TANNING,unknown,HIGH_PRIORITY_BUY_REVIEW,31.2,25.7,223,-19.688,-0.82,VERY_LOW,4.711,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-141,economic_value_major_downgrade
49692,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,24.1,25.7,224,-18.339,-0.764,VERY_LOW,46.604,0.0,1.599,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,134,economic_roi_major_uplift
195049,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,29.2,25.7,225,-4.107,-0.171,VERY_LOW,24.382,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-67,economic_value_major_downgrade
74656,0.0,VITAMIN SUPPLEMENT,unknown,HIGH_PRIORITY_BUY_REVIEW,24.5,25.7,226,-20.159,-0.84,VERY_LOW,7.947,21.32,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,113,economic_roi_major_uplift
184834,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,21.4,25.7,227,15.339,0.639,VERY_LOW,14.444,0.0,1.205,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,336,economic_roi_major_uplift
38297,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,28.5,25.7,228,-7.669,-0.32,VERY_LOW,23.715,0.0,1.205,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-51,economic_value_major_downgrade
198717,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,28.6,25.6,229,-21.772,-0.907,VERY_LOW,3.114,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-57,economic_value_major_downgrade
94277,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,25.3,25.6,230,-14.355,-0.598,VERY_LOW,16.102,0.0,1.033,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,69,economic_roi_major_uplift
67686,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,28.8,25.6,231,-21.319,-0.888,VERY_LOW,3.826,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-62,economic_value_major_downgrade
91534,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,18.9,25.6,232,59.45,3.716,LOW,1.896,101.006,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,618,economic_roi_major_uplift
