sku_number,sku_description,decision,decision_quality_label,confidence_score,data_quality_score,demand_evidence_strength,promo_period_demand_source,promo_units_expected_to_sell,recommended_order_units,commercial_coverage_ratio,remaining_promo_sales_stock_gap,remaining_end_stock_gap,execution_ready_flag,execution_blocker,proposed_action_tier
90934,Cetaphil Gen Ex Sa Lot 236M,REVIEW,REVIEW_STOCK_GAP,25,62.0,CONFLICTING,baseline_period_demand,12.0,9,0.143,3,51,NO,,tier_3_review_evidence_gap
199243,Cerave Rep Balm 88Ml,REVIEW,REVIEW_STOCK_GAP,21,94.0,MODERATE,same_discount_history,12.0,0,0.0,6,51,NO,,tier_3_review_evidence_gap
15792,Npmu Setting Spray Matte,REVIEW,REVIEW_STOCK_GAP,27,94.0,MODERATE,same_discount_history,11.765,0,0.0,10,50,NO,,tier_3_review_evidence_gap
63079,Npmu Brow Glue Stick,REVIEW,REVIEW_STOCK_GAP,39,94.0,MODERATE,same_discount_history,11.706,0,0.0,9,50,NO,,tier_3_review_evidence_gap
193203,May Ls Sky High Wsh,REVIEW,REVIEW_STOCK_GAP,27,94.0,MODERATE,same_discount_history,11.636,0,0.0,10,50,NO,,tier_3_review_evidence_gap
49686,Avene Thermal S/Water 300Ml,REVIEW,REVIEW_STOCK_GAP,27,94.0,MODERATE,same_discount_history,11.5,0,0.0,3,49,NO,,tier_3_review_evidence_gap
87417,Cerave Oil Control Gel 52Ml,REVIEW,REVIEW_STOCK_GAP,49,100.0,MODERATE,same_discount_history,11.0,11,0.19,0,47,NO,,tier_3_review_evidence_gap
192050,Cerave Renewing Vitamin C 30Ml,REVIEW,REVIEW_STOCK_GAP,46,100.0,MODERATE,same_discount_history,11.0,7,0.13,0,47,NO,,tier_3_review_evidence_gap
195091,Cerave Blem Cntrl Ret Srm 30Ml,REVIEW,REVIEW_STOCK_GAP,41,94.0,MODERATE,same_discount_history,11.0,0,0.0,10,47,NO,,tier_3_review_evidence_gap
94903,Lrp Hyaluron Serum 30Ml,REVIEW,REVIEW_STOCK_GAP,31,94.0,MODERATE,same_discount_history,11.0,0,0.0,10,47,NO,,tier_3_review_evidence_gap
188716,Cerave Renew Sa Foot Crm 88Ml,REVIEW,REVIEW_STOCK_GAP,25,94.0,MODERATE,same_discount_history,11.0,0,0.0,8,47,NO,,tier_3_review_evidence_gap
20798,Garn Micellar Water 700Ml,REVIEW,REVIEW_STOCK_GAP,26,100.0,MODERATE,same_discount_history,10.778,0,0.0,10,46,NO,,tier_3_review_evidence_gap
188833,B/Lab Neck Firm Srm 30Ml,REVIEW,REVIEW_STOCK_GAP,56,100.0,MODERATE,same_discount_history,10.667,6,0.115,0,46,NO,,tier_3_review_evidence_gap
612448,Neut Mur Wipes Regular 25,REVIEW,REVIEW_STOCK_GAP,26,94.0,MODERATE,same_discount_history,10.667,0,0.0,8,46,NO,,tier_3_review_evidence_gap
192118,Olay Hyaluron Cream 50G,REVIEW,REVIEW_STOCK_GAP,67,62.0,CONFLICTING,baseline_period_demand,10.5,10,0.182,0,45,NO,,tier_3_review_evidence_gap
93993,May Face Lift Stix 65 Nu Int,REVIEW,REVIEW_STOCK_GAP,67,62.0,CONFLICTING,baseline_period_demand,10.5,10,0.182,0,45,NO,,tier_3_review_evidence_gap
90990,Catr Slmmtc Wp Brow Pen 050,REVIEW,REVIEW_STOCK_GAP,67,77.0,MODERATE,baseline_period_demand,10.5,10,0.185,0,44,NO,,tier_3_review_evidence_gap
90432,Rim Wonder'Ink Liner Chestnut,REVIEW,REVIEW_STOCK_GAP,64,62.0,CONFLICTING,baseline_period_demand,10.5,10,0.182,0,45,NO,,tier_3_review_evidence_gap
90462,Mf Mp Wow Liner Emerald Green,REVIEW,REVIEW_STOCK_GAP,57,62.0,CONFLICTING,baseline_period_demand,10.5,10,0.182,0,45,NO,,tier_3_review_evidence_gap
37987,Garn H/Bomb Eye Mask Orng Juic,REVIEW,REVIEW_STOCK_GAP,25,94.0,MODERATE,same_discount_history,10.5,0,0.0,9,45,NO,,tier_3_review_evidence_gap
655035,Lrp Tol Sens 40Ml,REVIEW,REVIEW_STOCK_GAP,42,94.0,MODERATE,same_discount_history,10.333,0,0.0,9,44,NO,,tier_3_review_evidence_gap
655084,Lrp Tol Dermo Cleanser 200Ml,REVIEW,REVIEW_STOCK_GAP,41,94.0,MODERATE,same_discount_history,10.333,0,0.0,5,44,NO,,tier_3_review_evidence_gap
199841,Tbh Rebound Toner 100Ml,REVIEW,REVIEW_STOCK_GAP,59,100.0,MODERATE,same_discount_history,10.0,5,0.104,0,43,NO,,tier_3_review_evidence_gap
93339,Lrp Mela B Serum 50Ml,REVIEW,REVIEW_STOCK_GAP,32,94.0,MODERATE,same_discount_history,10.0,0,0.0,8,43,NO,,tier_3_review_evidence_gap
16527,Loreal R/Lift Eye/Fl Tub 15Ml,REVIEW,REVIEW_STOCK_GAP,28,62.0,CONFLICTING,baseline_period_demand,10.0,8,0.157,0,43,NO,,tier_3_review_evidence_gap
73263,Thayers Rose Petal Toner 355Ml,REVIEW,REVIEW_STOCK_GAP,28,62.0,CONFLICTING,baseline_period_demand,10.0,8,0.157,0,43,NO,,tier_3_review_evidence_gap
93335,Lrp Cicaplast B5 Spray 100Ml,REVIEW,REVIEW_STOCK_GAP,28,100.0,MODERATE,same_discount_history,10.0,0,0.0,9,43,NO,,tier_3_review_evidence_gap
365033,Palmol Lhw Foam Pump Lime 250,REVIEW,REVIEW_STOCK_GAP,52,77.0,MODERATE,baseline_period_demand,9.875,8,0.17,0,39,NO,,tier_3_review_evidence_gap
18512,Lrp Anth Fluid Tint Spf50 50Ml,REVIEW,REVIEW_STOCK_GAP,25,94.0,MODERATE,same_discount_history,9.667,0,0.0,0,38,NO,,tier_3_review_evidence_gap
