sku_number,current_soh_units,on_order_units,estimated_demand_before_promo_start_units,formula_before,projected_stock_on_hand_at_promo_start_before_order_units,before_mismatch
40167,0,0,0.286,0.0,0.0,0.0
71228,4,0,0.286,3.714,3.714,0.0
70356,3,0,0.286,2.714,2.714,0.0
87763,5,0,0.286,4.714,4.714,0.0
371246,3,0,0.286,2.714,2.714,0.0
11896,5,0,0.286,4.714,4.714,0.0
96640,1,3,0.286,3.714,3.714,0.0
96641,4,0,0.286,3.714,3.714,0.0
186518,4,0,0.286,3.714,3.714,0.0
97994,2,3,0.286,4.714,4.714,0.0
197891,2,6,0.271,7.729,7.729,0.0
192198,5,0,0.27,4.73,4.73,0.0
356859,3,0,0.268,2.732,2.732,0.0
958816,4,0,0.265,3.735,3.735,0.0
55681,4,0,0.265,3.735,3.735,0.0
33268,4,0,0.265,3.735,3.735,0.0
22900,13,0,0.262,12.738,12.738,0.0
437883,3,0,0.257,2.743,2.743,0.0
90152,4,0,0.257,3.743,3.743,0.0
31831,4,0,0.257,3.743,3.743,0.0
190114,7,0,0.254,6.746,6.746,0.0
43540,3,0,0.254,2.746,2.746,0.0
380675,3,0,0.253,2.747,2.747,0.0
186490,5,0,0.25,4.75,4.75,0.0
65489,6,0,0.25,5.75,5.75,0.0
282995,4,0,0.25,3.75,3.75,0.0
41315,3,0,0.25,2.75,2.75,0.0
92333,5,0,0.25,4.75,4.75,0.0
90155,4,0,0.25,3.75,3.75,0.0
63475,3,0,0.248,2.752,2.752,0.0
69802,6,0,0.245,5.755,5.755,0.0
415278,4,0,0.245,3.755,3.755,0.0
94059,3,0,0.245,2.755,2.755,0.0
184852,4,0,0.245,3.755,3.755,0.0
95025,3,0,0.857,2.143,2.143,0.0
67327,4,0,0.238,3.762,3.762,0.0
260851,7,0,0.238,6.762,6.762,0.0
205729,3,0,0.238,2.762,2.762,0.0
190113,5,0,0.238,4.762,4.762,0.0
190840,8,0,0.238,7.762,7.762,0.0
643335,4,0,0.234,3.766,3.766,0.0
55881,3,0,0.857,2.143,2.143,0.0
22490,3,0,0.232,2.768,2.768,0.0
188862,0,3,0.232,2.768,2.768,0.0
199946,3,0,0.857,2.143,2.143,0.0
27982,3,0,0.229,2.771,2.771,0.0
396176,3,0,0.224,2.776,2.776,0.0
192807,3,0,0.224,2.776,2.776,0.0
195988,1,3,0.221,3.779,3.779,0.0
90934,2,0,1.714,0.286,0.286,0.0
188032,4,0,0.214,3.786,3.786,0.0
188636,3,0,0.214,2.786,2.786,0.0
96597,0,6,0.214,5.786,5.786,0.0
93925,7,0,0.214,6.786,6.786,0.0
94647,3,0,0.214,2.786,2.786,0.0
38417,1,4,0.214,4.786,4.786,0.0
65635,3,0,0.214,2.786,2.786,0.0
93915,8,0,0.214,7.786,7.786,0.0
51409,7,0,0.214,6.786,6.786,0.0
735752,3,0,0.214,2.786,2.786,0.0
666842,3,0,0.214,2.786,2.786,0.0
94279,4,0,0.214,3.786,3.786,0.0
62855,4,0,0.209,3.791,3.791,0.0
894710,3,0,0.206,2.794,2.794,0.0
667915,3,0,0.206,2.794,2.794,0.0
55511,3,0,0.206,2.794,2.794,0.0
189359,3,0,0.204,2.796,2.796,0.0
191880,4,0,0.2,3.8,3.8,0.0
191997,4,0,0.2,3.8,3.8,0.0
