segment,row_count,start_soh_compliance_rate,end_stock_success_rate,missed_demand_risk_count,overstocked_count,clean_exit_count,controlled_residual_count,unobservable_demand_count,cash_tied_up_units,cash_tied_up_cost_proxy,days_cover_p95,supplier_99999_success_rate,long_lead_supplier_success_rate,estimated_missed_sales_units,estimated_leftover_units,economic_value_proxy
category=BEAUTY FROM WITHIN,252,22.22222222222222,7.5396825396825395,38,7,11,8,188,558.9200000000001,2693.9939999999997,153.96844999999993,,7.5396825396825395,0.0,558.9200000000001,-1630.0140000000001
category=BEAUTY TOOLS,1016,21.555118110236222,3.937007874015748,159,23,19,21,794,3273.92,15780.294000000002,112.0,,3.937007874015748,0.1,3273.92,-11294.824
category=BOWEL,154,14.935064935064934,5.844155844155844,16,2,7,2,127,397.0,1913.5400000000002,168.0,,5.844155844155844,0.06,397.0,-1471.8780000000002
category=BRACE AND SUPPORT,9,0.0,0.0,0,0,0,0,9,22.0,106.04000000000002,126.126,,0.0,0.0,22.0,-98.17
category=BROWS,120,24.166666666666668,11.666666666666666,13,2,4,10,91,382.84000000000003,1845.288,84.0,,11.666666666666666,0.08,382.84000000000003,-1341.877
category=CATRICE,801,7.990012484394507,1.9975031210986267,27,21,3,13,737,1886.0,9090.52,189.189,,1.9975031210986267,0.0,1886.0,-8557.880000000001
category=CCOLD TAB CAPS,36,25.0,0.0,9,0,0,0,27,85.0,409.69999999999993,84.0,,0.0,0.0,85.0,-286.24
category=COLOR COS MNR BRND,104,19.230769230769234,3.8461538461538463,16,0,2,2,84,172.0,829.0400000000001,0.0,,3.8461538461538463,0.6200000000000001,172.0,-378.01900000000006
category=COLOURANTS,1136,11.795774647887324,6.25,65,32,12,59,968,3135.86,15114.845000000001,189.189,,6.25,0.2,3135.86,-13565.330000000002
category=COS BAGS EVERYDAY,53,9.433962264150944,9.433962264150944,0,0,0,5,48,148.0,713.3600000000001,78.40019999999998,,9.433962264150944,0.0,148.0,-651.04
category=COS BAGS SEASONAL,5,60.0,60.0,0,0,0,3,2,22.0,106.04,0.0,,60.0,0.0,22.0,-106.04
category=COSMECEUTICAL,2412,33.83084577114428,7.75290215588723,541,164,76,111,1520,9472.48,45657.350000000006,151.079,,7.75290215588723,7.800000000000001,9472.48,-20368.79
